Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Zahir Barjam,19,2026,West Virginia,Big 12,25,36,33,4,9,4,0,0,3,0,0,1,9,0.273,0.306,0.394,0.7,13,0,1,0,1,0,,player.fcgi?id=barjam000zah
Creed Erdos,20,2026,West Virginia,Big 12,10,5,3,1,0,0,0,0,0,0,0,0,1,0,0.4,0,0.4,0,0,2,0,0,0,,player.fcgi?id=erdos-000cre
Matthew Graveline,22,2026,West Virginia,Big 12,64,278,239,39,73,12,0,6,39,9,2,27,55,0.305,0.381,0.431,0.812,103,5,4,5,3,0,,player.fcgi?id=gravel001mat
Armani Guzman*,21,2026,West Virginia,Big 12,64,288,234,66,75,22,2,1,45,42,4,39,42,0.321,0.419,0.444,0.863,104,6,5,4,6,2,,player.fcgi?id=guzman000arm
Ty Hall,21,2026,West Virginia,Big 12,64,252,201,52,56,8,1,7,38,20,3,36,85,0.279,0.402,0.433,0.835,87,4,7,6,2,0,,player.fcgi?id=hall--000tyr
Matt Ineich*,20,2026,West Virginia,Big 12,64,313,243,64,72,12,2,4,36,7,3,56,35,0.296,0.442,0.412,0.854,100,8,10,1,3,1,,player.fcgi?id=ineich000mat
Gavin Kelly,20,2026,West Virginia,Big 12,63,305,251,70,96,21,4,19,63,5,7,43,45,0.383,0.477,0.725,1.202,182,5,6,1,4,2,,player.fcgi?id=kelly-000gav
Brodie Kresser,23,2026,West Virginia,Big 12,56,226,183,39,54,7,1,2,34,6,0,26,30,0.295,0.395,0.377,0.772,69,3,8,3,6,0,,player.fcgi?id=kresse000bro
Ben Lumsden*,22,2026,West Virginia,Big 12,39,112,89,18,23,7,0,3,20,0,0,19,31,0.258,0.385,0.438,0.824,39,1,0,3,1,1,,player.fcgi?id=lumsde001ben
Ryan Maggy*,20,2026,West Virginia,Big 12,17,20,17,1,4,0,0,0,4,1,0,3,9,0.235,0.35,0.235,0.585,4,0,0,0,0,0,,player.fcgi?id=maggy-000rya
Weston Mazey#,19,2026,West Virginia,Big 12,12,10,8,5,1,0,0,0,0,0,0,2,5,0.125,0.3,0.125,0.425,1,0,0,0,0,0,,player.fcgi?id=mazey-000wes
Maxwell Molessa*,20,2026,West Virginia,Big 12,21,15,15,4,4,1,0,0,2,0,0,0,7,0.267,0.267,0.333,0.6,5,0,0,0,0,0,,player.fcgi?id=moless000max
Matthew Robaugh,19,2026,West Virginia,Big 12,19,40,36,4,7,1,0,0,1,0,0,3,9,0.194,0.275,0.222,0.497,8,0,1,0,0,0,,player.fcgi?id=robaug000mat
Paul Schoenfeld*,23,2026,West Virginia,Big 12,64,306,254,48,83,19,4,4,52,26,6,40,41,0.327,0.422,0.48,0.902,122,4,4,5,3,0,,player.fcgi?id=schoen004pau
Colton Sims,20,2026,West Virginia,Big 12,8,6,5,1,1,1,0,0,3,0,0,0,4,0.2,0.167,0.4,0.567,2,0,0,0,1,0,,player.fcgi?id=sims--003col
Sean Smith,23,2026,West Virginia,Big 12,63,274,235,49,74,11,3,10,55,6,1,29,60,0.315,0.409,0.515,0.924,121,6,9,0,1,2,,player.fcgi?id=smith-009sea
Brock Wills*,22,2026,West Virginia,Big 12,53,195,166,27,47,6,3,2,23,4,1,15,40,0.283,0.372,0.392,0.763,65,2,9,4,1,0,,player.fcgi?id=wills-000bro
Spencer Barnett*,20,2025,West Virginia,Big 12,45,131,115,24,32,5,1,4,26,3,0,11,26,0.278,0.336,0.444,0.779,51,0,0,3,2,0,,player.fcgi?id=barnet002spe
Ellis Garcia,21,2025,West Virginia,Big 12,32,20,18,3,4,0,0,1,4,0,0,2,4,0.222,0.3,0.389,0.689,7,0,0,0,0,0,,player.fcgi?id=garcia000ell
Armani Guzman*,20,2025,West Virginia,Big 12,49,126,107,27,35,5,1,2,22,17,2,8,26,0.327,0.403,0.449,0.852,48,0,7,2,2,0,,player.fcgi?id=guzman000arm
Grant Hussey*,22,2025,West Virginia,Big 12,60,227,195,36,53,12,1,7,35,7,1,22,54,0.272,0.36,0.451,0.811,88,0,6,2,2,0,,player.fcgi?id=hussey000gra
Gavin Kelly,19,2025,West Virginia,Big 12,51,206,167,38,50,6,2,2,37,16,2,22,30,0.299,0.402,0.395,0.797,66,2,10,2,5,0,,player.fcgi?id=kelly-000gav
Skylar King*,21,2025,West Virginia,Big 12,59,258,206,42,60,9,2,3,32,13,10,29,29,0.291,0.415,0.398,0.813,82,0,16,5,2,0,,player.fcgi?id=king--000sky
Brodie Kresser,22,2025,West Virginia,Big 12,59,257,209,50,58,12,0,3,41,13,3,26,37,0.278,0.373,0.378,0.751,79,2,10,5,7,1,,player.fcgi?id=kresse000bro
Ben Lumsden*,21,2025,West Virginia,Big 12,40,61,50,11,8,1,0,2,15,1,0,8,16,0.16,0.3,0.3,0.6,15,1,2,1,0,1,,player.fcgi?id=lumsde001ben
Alex Marot,21,2025,West Virginia,Big 12,17,39,33,4,9,2,0,0,6,0,0,6,10,0.273,0.385,0.333,0.718,11,0,0,0,0,0,,player.fcgi?id=marot-000ale
Chase Meyer,20,2025,West Virginia,Big 12,22,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=meyer-006cha
Michael Perazza*,21,2025,West Virginia,Big 12,21,48,43,6,10,0,0,1,5,3,1,1,11,0.233,0.25,0.302,0.552,13,1,1,0,3,0,,player.fcgi?id=perazz000mic
Jace Rinehart,22,2025,West Virginia,Big 12,57,221,194,43,62,21,0,9,53,4,3,15,31,0.32,0.396,0.567,0.963,110,3,10,1,1,2,,player.fcgi?id=rineha000jac
Logan Sauve,21,2025,West Virginia,Big 12,54,247,210,46,58,12,1,8,36,8,0,34,37,0.276,0.385,0.457,0.842,96,7,3,0,0,1,,player.fcgi?id=sauve-000log
Chase Swain,22,2025,West Virginia,Big 12,50,164,135,40,43,6,3,2,30,11,3,18,36,0.319,0.404,0.452,0.856,61,5,4,3,4,0,,player.fcgi?id=swain-004cha
Jorge Valdes*,20,2025,West Virginia,Big 12,39,23,19,10,3,0,0,0,5,0,1,3,7,0.158,0.304,0.158,0.462,3,0,1,0,0,0,,player.fcgi?id=valdes006jor
Kyle West*,22,2025,West Virginia,Big 12,59,236,183,43,62,15,0,11,38,6,2,46,41,0.339,0.487,0.601,1.088,110,0,7,0,0,2,,player.fcgi?id=west--003kyl
Sam White*,21,2025,West Virginia,Big 12,51,223,191,47,69,17,0,5,46,9,5,22,23,0.361,0.426,0.529,0.955,101,1,4,0,6,2,,player.fcgi?id=white-005sam
Spencer Barnett*,19,2024,West Virginia,Big 12,46,131,104,20,28,4,0,2,21,4,1,21,35,0.269,0.38,0.365,0.745,38,0,0,2,4,0,,player.fcgi?id=barnet002spe
Nick Barone,20,2024,West Virginia,Big 12,21,30,25,3,2,0,0,0,2,0,1,5,13,0.08,0.233,0.08,0.313,2,1,0,0,0,0,,player.fcgi?id=barone000nic
Reed Chumley,23,2024,West Virginia,Big 12,56,235,196,45,61,15,2,16,50,3,4,28,65,0.311,0.404,0.653,1.057,128,2,6,0,5,0,,player.fcgi?id=chumle000ree
Tyler Cox*,21,2024,West Virginia,Big 12,14,21,16,2,4,0,0,0,1,2,2,4,5,0.25,0.429,0.25,0.679,4,0,1,0,0,0,,player.fcgi?id=cox---014tyl
Ellis Garcia,20,2024,West Virginia,Big 12,42,131,116,11,28,5,0,1,16,7,1,8,14,0.241,0.291,0.31,0.602,36,2,1,4,2,0,,player.fcgi?id=garcia000ell
Armani Guzman*,19,2024,West Virginia,Big 12,32,21,19,11,1,0,0,0,0,10,1,1,11,0.053,0.143,0.053,0.196,1,0,1,0,0,0,,player.fcgi?id=guzman000arm
Grant Hussey*,21,2024,West Virginia,Big 12,57,223,186,34,45,8,1,12,37,7,2,18,63,0.242,0.339,0.489,0.829,91,0,12,2,5,0,,player.fcgi?id=hussey000gra
Aaron Jamison*,19,2024,West Virginia,Big 12,44,88,74,17,17,3,1,3,16,8,1,8,35,0.23,0.329,0.419,0.748,31,0,3,3,0,0,,player.fcgi?id=jamiso000aar
Skylar King*,20,2024,West Virginia,Big 12,58,183,155,33,40,8,0,5,26,9,3,13,21,0.258,0.335,0.407,0.742,63,4,6,7,2,0,,player.fcgi?id=king--000sky
Brodie Kresser,21,2024,West Virginia,Big 12,47,179,144,27,40,7,1,4,24,13,3,18,27,0.278,0.409,0.424,0.833,61,2,14,3,0,0,,player.fcgi?id=kresse000bro
Ben Lumsden*,20,2024,West Virginia,Big 12,55,211,175,33,44,10,0,7,25,3,0,31,59,0.251,0.365,0.429,0.794,75,3,1,3,1,0,,player.fcgi?id=lumsde001ben
Michael Perazza*,20,2024,West Virginia,Big 12,33,67,62,7,16,4,0,1,7,1,2,4,16,0.258,0.313,0.371,0.684,23,1,1,0,0,0,,player.fcgi?id=perazz000mic
Logan Sauve,20,2024,West Virginia,Big 12,45,207,182,42,56,8,0,8,37,2,0,17,30,0.308,0.379,0.484,0.862,88,6,5,1,2,0,,player.fcgi?id=sauve-000log
Luke Szepek,18,2024,West Virginia,Big 12,18,21,17,2,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,2,0,1,1,0,0,,player.fcgi?id=szepek000luk
Kyle West*,21,2024,West Virginia,Big 12,56,221,196,38,51,10,1,14,43,8,0,21,64,0.26,0.344,0.536,0.88,105,2,4,0,0,1,,player.fcgi?id=west--003kyl
JJ Wetherholt*,21,2024,West Virginia,Big 12,36,164,124,30,41,8,0,8,30,6,0,30,17,0.331,0.472,0.589,1.061,73,2,6,1,3,8,,player.fcgi?id=wether000jj-
Sam White*,20,2024,West Virginia,Big 12,60,259,213,47,65,9,1,10,42,5,3,32,56,0.305,0.406,0.498,0.903,106,4,6,5,3,0,,player.fcgi?id=white-005sam
Nick Barone,19,2023,West Virginia,Big 12,7,11,8,3,2,0,0,2,7,0,0,2,1,0.25,0.364,1,1.364,8,0,0,0,1,0,,player.fcgi?id=barone000nic
Braden Barry,21,2023,West Virginia,Big 12,60,281,231,57,67,19,4,8,44,24,3,33,55,0.29,0.383,0.511,0.894,118,2,5,7,5,0,,player.fcgi?id=barry-001bra
Tyler Cox*,20,2023,West Virginia,Big 12,25,17,13,3,1,1,0,0,1,3,1,4,6,0.077,0.294,0.154,0.448,2,0,0,0,0,0,,player.fcgi?id=cox---014tyl
Kevin Dowdell*,23,2023,West Virginia,Big 12,29,38,30,8,6,1,0,1,8,3,0,5,13,0.2,0.324,0.333,0.658,10,0,1,1,1,0,,player.fcgi?id=dowdel000kev
Ellis Garcia,19,2023,West Virginia,Big 12,53,199,169,24,44,12,0,3,27,2,1,23,20,0.26,0.367,0.385,0.751,65,3,6,0,1,0,,player.fcgi?id=garcia000ell
Grant Hussey*,20,2023,West Virginia,Big 12,55,224,181,36,46,12,0,14,46,0,0,31,72,0.254,0.393,0.553,0.945,100,2,11,0,1,3,,player.fcgi?id=hussey000gra
Tré Keels,18,2023,West Virginia,Big 12,11,8,5,5,1,1,0,0,0,1,1,3,2,0.2,0.5,0.4,0.9,2,0,0,0,0,0,,player.fcgi?id=keels-000tre
Skylar King*,19,2023,West Virginia,Big 12,17,22,22,4,5,1,0,0,3,0,0,0,2,0.227,0.227,0.273,0.5,6,0,0,0,0,0,,player.fcgi?id=king--000sky
Dayne Leonard,23,2023,West Virginia,Big 12,60,279,223,44,59,13,0,4,48,4,1,31,46,0.265,0.395,0.377,0.772,84,8,19,3,3,0,,player.fcgi?id=leonar000day
Caleb McNeely,23,2023,West Virginia,Big 12,57,269,216,48,64,14,3,13,49,16,3,39,55,0.296,0.412,0.569,0.981,123,3,7,2,5,2,,player.fcgi?id=mcneel000cal
Zack Ramppen,19,2023,West Virginia,Big 12,13,11,10,2,2,0,0,0,1,0,0,1,2,0.2,0.273,0.2,0.473,2,0,0,0,0,0,,player.fcgi?id=ramppe000zac
Logan Sauve,19,2023,West Virginia,Big 12,52,181,146,31,39,9,0,4,24,2,0,23,40,0.267,0.4,0.411,0.811,60,5,10,1,1,0,,player.fcgi?id=sauve-000log
Evan Smith*,20,2023,West Virginia,Big 12,25,42,35,6,6,2,0,0,6,0,1,5,14,0.171,0.31,0.229,0.538,8,2,2,0,0,0,,player.fcgi?id=smith-004eva
Tevin Tucker,23,2023,West Virginia,Big 12,60,265,195,58,62,9,3,1,23,20,3,40,49,0.318,0.465,0.41,0.875,80,1,16,11,3,0,,player.fcgi?id=tucker000tev
Landon Wallace,21,2023,West Virginia,Big 12,59,258,199,46,62,11,3,11,49,17,2,37,54,0.312,0.45,0.563,1.013,112,3,14,7,1,0,,player.fcgi?id=wallac001lan
JJ Wetherholt*,20,2023,West Virginia,Big 12,55,268,225,67,101,24,2,16,60,36,8,26,22,0.449,0.517,0.787,1.304,177,2,11,1,5,10,,player.fcgi?id=wether000jj-
Sam White*,19,2023,West Virginia,Big 12,50,165,138,23,34,7,1,4,23,0,0,20,36,0.246,0.354,0.399,0.752,55,5,4,1,2,0,,player.fcgi?id=white-005sam
Ben Abernathy,19,2022,West Virginia,Big 12,41,29,22,9,7,1,0,0,1,12,3,5,9,0.318,0.464,0.364,0.828,8,0,1,1,0,0,,player.fcgi?id=aberna000ben
Braden Barry,20,2022,West Virginia,Big 12,53,174,149,28,43,11,1,6,26,16,4,18,34,0.289,0.374,0.497,0.871,74,3,3,3,1,0,,player.fcgi?id=barry-001bra
Nathan Blasick*,21,2022,West Virginia,Big 12,39,76,59,10,16,3,1,3,11,2,0,13,21,0.271,0.421,0.509,0.93,30,5,3,0,1,0,,player.fcgi?id=blasic000nat
Tyler Cox*,19,2022,West Virginia,Big 12,31,41,35,5,3,1,0,0,1,4,2,5,12,0.086,0.195,0.114,0.309,4,0,0,0,1,0,,player.fcgi?id=cox---014tyl
Austin Davis,22,2022,West Virginia,Big 12,55,254,224,56,74,11,1,4,26,29,6,18,33,0.33,0.402,0.442,0.844,99,0,10,0,2,0,,player.fcgi?id=davis-005aus
Kevin Dowdell*,22,2022,West Virginia,Big 12,33,35,30,5,6,1,0,2,7,3,0,5,12,0.2,0.314,0.433,0.748,13,0,0,0,0,0,,player.fcgi?id=dowdel000kev
McGwire Holbrook,20,2022,West Virginia,Big 12,54,197,171,28,55,12,0,6,42,5,1,22,19,0.322,0.396,0.497,0.893,85,4,1,0,3,1,,player.fcgi?id=holbro000mcg
Grant Hussey*,19,2022,West Virginia,Big 12,54,220,176,34,43,10,0,11,35,1,2,30,69,0.244,0.379,0.489,0.868,86,2,10,1,3,0,,player.fcgi?id=hussey000gra
Vince Ippoliti,23,2022,West Virginia,Big 12,23,41,31,4,7,2,1,0,7,2,0,6,8,0.226,0.415,0.355,0.769,11,1,4,0,0,0,,player.fcgi?id=ippoli000vin
Alex Khan,19,2022,West Virginia,Big 12,31,40,36,2,3,0,0,0,3,0,0,3,9,0.083,0.154,0.083,0.237,3,1,0,1,0,0,,player.fcgi?id=khan--000ale
Mikey Kluska,21,2022,West Virginia,Big 12,50,157,141,18,30,7,1,1,21,2,1,10,32,0.213,0.277,0.298,0.575,42,5,3,2,1,0,,player.fcgi?id=kluska000mik
Dayne Leonard,22,2022,West Virginia,Big 12,48,156,133,23,44,7,0,3,23,3,2,13,36,0.331,0.426,0.451,0.877,60,3,9,1,0,0,,player.fcgi?id=leonar000day
Victor Scott II*,21,2022,West Virginia,Big 12,55,250,194,44,54,12,2,6,47,38,7,35,53,0.278,0.397,0.454,0.85,88,2,7,8,6,2,,player.fcgi?id=scott-003vic
Evan Smith*,19,2022,West Virginia,Big 12,30,50,37,11,7,4,0,1,10,3,1,9,12,0.189,0.38,0.378,0.758,14,0,3,0,1,0,,player.fcgi?id=smith-004eva
Tevin Tucker,22,2022,West Virginia,Big 12,55,194,160,33,29,2,3,2,19,21,6,23,43,0.181,0.307,0.269,0.576,43,1,6,5,0,0,,player.fcgi?id=tucker000tev
JJ Wetherholt*,19,2022,West Virginia,Big 12,54,246,208,51,64,17,1,5,39,15,8,26,43,0.308,0.411,0.471,0.882,98,3,11,0,1,0,,player.fcgi?id=wether000jj-
Ben Abernathy,18,2021,West Virginia,Big 12,35,43,37,8,4,0,0,0,1,11,2,4,8,0.108,0.195,0.108,0.303,4,,0,2,0,0,,player.fcgi?id=aberna000ben
Braden Barry,19,2021,West Virginia,Big 12,36,79,70,10,17,4,0,0,6,4,3,6,24,0.243,0.321,0.3,0.621,21,,2,1,0,0,,player.fcgi?id=barry-001bra
William Bean?,--,2021,West Virginia,Big 12,27,29,22,2,1,0,0,0,0,0,0,4,11,0.046,0.276,0.046,0.321,1,,3,0,0,0,,player.fcgi?id=bean--003wil
Nathan Blasick*,20,2021,West Virginia,Big 12,36,92,77,11,17,0,2,5,14,1,3,11,36,0.221,0.326,0.468,0.794,36,,2,0,2,0,,player.fcgi?id=blasic000nat
Kevin Brophy*,23,2021,West Virginia,Big 12,44,135,117,21,26,5,1,8,23,3,0,15,43,0.222,0.311,0.487,0.798,57,,1,0,2,1,,player.fcgi?id=brophy002kev
Alec Burns,21,2021,West Virginia,Big 12,24,68,56,12,14,1,0,6,10,1,0,9,21,0.25,0.382,0.589,0.972,33,,3,0,0,0,,player.fcgi?id=burns-001ale
Hudson Byorick,24,2021,West Virginia,Big 12,45,183,159,24,43,9,3,3,22,3,0,23,32,0.27,0.366,0.421,0.788,67,,1,0,0,1,,player.fcgi?id=byoric000hud
Austin Davis,21,2021,West Virginia,Big 12,51,196,175,28,56,9,1,1,18,17,3,18,35,0.32,0.39,0.4,0.79,70,,2,1,0,0,,player.fcgi?id=davis-005aus
Tyler Doanes,22,2021,West Virginia,Big 12,40,151,129,17,29,6,0,0,22,5,3,20,18,0.225,0.327,0.271,0.598,35,,0,1,1,0,,player.fcgi?id=doanes000tyl
McGwire Holbrook,19,2021,West Virginia,Big 12,13,35,30,5,8,0,0,1,3,0,0,5,4,0.267,0.371,0.367,0.738,11,,0,0,0,0,,player.fcgi?id=holbro000mcg
Vince Ippoliti,22,2021,West Virginia,Big 12,37,132,103,21,28,1,0,2,18,2,0,17,23,0.272,0.402,0.34,0.741,35,,8,0,4,0,,player.fcgi?id=ippoli000vin
Chris Klein*,20,2021,West Virginia,Big 12,3,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,,0,0,0,0,,player.fcgi?id=klein-000chr
Mikey Kluska,20,2021,West Virginia,Big 12,42,173,155,17,37,1,1,4,24,1,2,14,45,0.239,0.298,0.336,0.634,52,,0,2,2,0,,player.fcgi?id=kluska000mik
Matt McCormick*,20,2021,West Virginia,Big 12,51,208,186,25,52,15,1,7,30,2,1,12,43,0.28,0.351,0.484,0.835,90,,9,0,1,2,,player.fcgi?id=mccorm001mat
Paul McIntosh,23,2021,West Virginia,Big 12,45,183,156,25,40,8,1,8,26,2,6,18,23,0.256,0.35,0.474,0.824,74,,6,0,3,0,,player.fcgi?id=mcinto000pau
Dominic Ragazzo,20,2021,West Virginia,Big 12,41,71,64,10,14,3,3,0,5,5,0,5,23,0.219,0.282,0.359,0.641,23,,1,0,1,0,,player.fcgi?id=ragazz000dom
Victor Scott II*,20,2021,West Virginia,Big 12,51,198,155,29,36,7,1,4,23,20,3,32,46,0.232,0.359,0.368,0.727,57,,2,3,6,0,,player.fcgi?id=scott-003vic
Ryan Archibald*,20,2020,West Virginia,Big 12,14,26,22,2,3,0,0,1,1,0,0,4,8,0.136,0.269,0.273,0.542,6,,0,0,0,0,,player.fcgi?id=archib001rya
Kevin Brophy*,22,2020,West Virginia,Big 12,16,67,61,11,15,3,0,1,8,0,0,4,15,0.246,0.303,0.344,0.647,21,,1,1,0,0,,player.fcgi?id=brophy002kev
Alec Burns,20,2020,West Virginia,Big 12,10,15,12,4,2,1,0,0,0,0,0,2,4,0.167,0.333,0.25,0.583,3,,1,0,0,0,,player.fcgi?id=burns-001ale
Austin Davis,20,2020,West Virginia,Big 12,16,67,59,9,19,4,1,0,10,6,1,5,11,0.322,0.375,0.424,0.799,25,,0,3,0,0,,player.fcgi?id=davis-005aus
Tyler DeMartino,20,2020,West Virginia,Big 12,6,10,10,1,3,0,0,0,2,0,0,0,1,0.3,0.3,0.3,0.6,3,,0,0,0,0,,player.fcgi?id=demart000tyl
Tyler Doanes,21,2020,West Virginia,Big 12,16,74,61,8,17,2,1,0,10,7,0,7,9,0.279,0.366,0.344,0.711,21,,2,3,1,1,,player.fcgi?id=doanes000tyl
Vince Ippoliti,21,2020,West Virginia,Big 12,12,38,31,6,9,3,0,0,6,0,0,5,4,0.29,0.421,0.387,0.808,12,,2,0,0,0,,player.fcgi?id=ippoli000vin
Chris Klein*,19,2020,West Virginia,Big 12,9,11,9,1,2,1,0,0,0,0,0,2,4,0.222,0.364,0.333,0.697,3,,0,0,0,0,,player.fcgi?id=klein-000chr
Matt McCormick*,19,2020,West Virginia,Big 12,16,66,55,10,20,4,0,3,11,1,0,10,17,0.364,0.47,0.6,1.07,33,,1,0,0,0,,player.fcgi?id=mccorm001mat
Paul McIntosh,22,2020,West Virginia,Big 12,16,63,58,10,12,3,0,3,14,0,2,3,8,0.207,0.238,0.414,0.652,24,,0,0,2,0,,player.fcgi?id=mcinto000pau
Dominic Ragazzo,19,2020,West Virginia,Big 12,13,11,11,2,1,0,0,0,0,1,0,0,4,0.091,0.091,0.091,0.182,1,,0,0,0,0,,player.fcgi?id=ragazz000dom
Victor Scott II*,19,2020,West Virginia,Big 12,15,49,45,6,10,1,3,1,5,4,0,2,14,0.222,0.265,0.444,0.71,20,,1,0,1,0,,player.fcgi?id=scott-003vic
Tevin Tucker,20,2020,West Virginia,Big 12,16,53,47,3,8,0,0,0,4,7,1,4,13,0.17,0.25,0.17,0.42,8,,1,1,0,0,,player.fcgi?id=tucker000tev
Jackson Wolf*,21,2020,West Virginia,Big 12,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=wolf--002jac
Braden Zarbnisky*,23,2020,West Virginia,Big 12,16,76,65,16,28,3,2,0,9,13,2,7,9,0.431,0.487,0.539,1.025,35,,1,2,1,1,,player.fcgi?id=zarbni000bra
Kevin Brophy*,21,2019,West Virginia,Big 12,57,188,167,23,34,6,0,9,35,1,1,15,60,0.204,0.267,0.401,0.669,67,,1,1,4,1,,player.fcgi?id=brophy002kev
Austin Davis,19,2019,West Virginia,Big 12,42,70,59,14,13,1,0,0,3,12,4,8,18,0.22,0.313,0.237,0.551,14,,0,3,0,0,,player.fcgi?id=davis-005aus
Tyler Doanes,20,2019,West Virginia,Big 12,59,271,228,40,72,21,3,5,32,20,6,31,40,0.316,0.398,0.5,0.898,114,,4,2,6,0,,player.fcgi?id=doanes000tyl
Phillip Dull,19,2019,West Virginia,Big 12,34,62,53,8,13,2,0,0,5,2,1,7,15,0.245,0.355,0.283,0.638,15,,2,0,0,0,,player.fcgi?id=dull--000phi
Iván González,22,2019,West Virginia,Big 12,60,257,214,39,63,15,0,3,31,5,5,35,36,0.294,0.397,0.407,0.803,87,,4,0,4,1,,player.fcgi?id=vera--000iva
Connor Hamilton,19,2019,West Virginia,Big 12,10,19,16,0,1,0,0,0,0,0,0,3,10,0.063,0.211,0.063,0.273,1,,0,0,0,0,,player.fcgi?id=hamilt001con
Darius Hill*,21,2019,West Virginia,Big 12,60,266,238,47,75,25,3,6,41,4,0,24,33,0.315,0.376,0.521,0.897,124,,1,0,3,3,,player.fcgi?id=hill--002dar
Tristen Hudson#,19,2019,West Virginia,Big 12,37,46,40,5,5,1,0,0,5,3,2,2,15,0.125,0.178,0.15,0.328,6,,1,1,2,0,,player.fcgi?id=hudson000tri
Marques Inman,22,2019,West Virginia,Big 12,56,234,206,26,54,10,1,9,41,1,0,19,51,0.262,0.338,0.452,0.789,93,,6,0,3,0,,player.fcgi?id=inman-000mar
TJ Lake*,23,2019,West Virginia,Big 12,51,166,147,21,38,9,0,3,21,3,5,13,41,0.259,0.319,0.381,0.7,56,,1,3,2,0,,player.fcgi?id=lake--000tj-
Trey Lowe,19,2019,West Virginia,Big 12,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=lowe--001tre
Paul McIntosh,21,2019,West Virginia,Big 12,52,217,191,28,53,10,1,10,34,1,7,21,54,0.278,0.359,0.497,0.857,95,,4,0,1,0,,player.fcgi?id=mcinto000pau
Tevin Tucker,19,2019,West Virginia,Big 12,60,208,156,37,31,10,0,1,21,19,5,39,54,0.199,0.365,0.282,0.647,44,,3,8,2,0,,player.fcgi?id=tucker000tev
Brandon White,21,2019,West Virginia,Big 12,57,244,195,37,53,5,1,0,26,26,6,33,46,0.272,0.387,0.308,0.695,60,,5,9,2,0,,player.fcgi?id=white-006bra
