Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional,
Reese Bassinger,23,2026,West Virginia,Big 12,4,3,0.571,3.3,31,0,,0,0,2,60,51,27,22,3,20,1,64,8,0,3,251,1.183,7.7,0.5,3,9.6,3.2,,player.fcgi?id=bassin000ree,
Chansen Cole,20,2026,West Virginia,Big 12,10,2,0.833,3.43,21,19,,1,0,0,99.2,86,42,38,11,32,2,109,10,0,6,420,1.184,7.8,1,2.9,9.8,3.41,,player.fcgi?id=cole--010cha,
JD Costanzo*,20,2026,West Virginia,Big 12,0,0,,13.5,4,0,,0,0,0,2.2,7,6,4,1,3,1,3,0,0,1,18,3.75,23.6,3.4,10.1,10.1,1,,player.fcgi?id=costan000jd-,
Carson Estridge,22,2026,West Virginia,Big 12,4,0,1,3.09,22,0,,0,0,2,35,32,15,12,2,13,0,34,8,0,2,155,1.286,8.2,0.5,3.3,8.7,2.62,,player.fcgi?id=estrid000car,
JJ Glasscock,21,2026,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,,player.fcgi?id=glassc000jj-,
David Hagen,21,2026,West Virginia,Big 12,4,1,0.8,3.48,15,8,,0,0,1,31,21,15,12,3,20,0,23,5,0,4,137,1.323,6.1,0.9,5.8,6.7,1.15,,player.fcgi?id=hagen-000dav,
Bryson Hoff,20,2026,West Virginia,Big 12,0,0,,27,1,0,,0,0,0,0.2,2,2,2,0,0,0,1,0,0,1,4,3,27,0,0,13.5,,,player.fcgi?id=hoff--000bry,
JT Huether,19,2026,West Virginia,Big 12,0,0,,7.71,8,0,,0,0,0,4.2,1,4,4,0,8,0,8,4,0,1,28,1.929,1.9,0,15.4,15.4,1,,player.fcgi?id=huethe000jt-,
Ian Korn,23,2026,West Virginia,Big 12,6,1,0.857,3.39,24,3,,0,0,2,79.2,73,33,30,7,13,0,70,5,0,2,321,1.079,8.2,0.8,1.5,7.9,5.38,,player.fcgi?id=korn--000ian,
Ben McDougal*,22,2026,West Virginia,Big 12,1,0,1,3.14,13,0,,0,0,1,14.1,12,9,5,4,8,0,13,3,0,1,66,1.395,7.5,2.5,5,8.2,1.63,,player.fcgi?id=mcdoug000ben,
