Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Willie Argo,21,2011,Illinois,Big Ten,57,246,204,48,55,6,2,4,27,25,10,28,47,0.27,0.385,0.378,0.763,77,,11,2,1,,,player.fcgi?id=argo--002wil
Ryan Arrick?,--,2011,Illinois,Big Ten,12,18,18,2,5,1,0,0,1,0,0,0,1,0.278,0.278,0.333,0.611,6,,0,0,0,,,player.fcgi?id=arrick000rya
Pete Cappetta?,--,2011,Illinois,Big Ten,50,186,162,34,54,11,1,2,17,15,1,17,38,0.333,0.402,0.451,0.853,73,,3,2,2,,,player.fcgi?id=cappet000pet
Bill Charvat?,--,2011,Illinois,Big Ten,11,18,14,5,2,1,0,0,0,0,0,3,5,0.143,0.333,0.214,0.548,3,,1,0,0,,,player.fcgi?id=charva000bil
Adam Davis,21,2011,Illinois,Big Ten,57,247,224,40,65,14,1,5,33,15,4,8,39,0.29,0.352,0.429,0.781,96,,14,0,1,,,player.fcgi?id=davis-003ada
Matt Dittman?,--,2011,Illinois,Big Ten,56,232,200,36,53,11,0,7,38,2,1,20,43,0.265,0.353,0.425,0.778,85,,9,0,3,,,player.fcgi?id=dittma000mat
Davis Hendrickson?,--,2011,Illinois,Big Ten,55,214,193,27,60,5,3,2,27,9,8,14,33,0.311,0.363,0.399,0.762,77,,3,2,2,,,player.fcgi?id=hendri000dav
Brandon Hohl,20,2011,Illinois,Big Ten,55,230,193,26,60,13,2,5,39,0,1,27,36,0.311,0.415,0.477,0.892,92,,8,1,1,,,player.fcgi?id=hohl--000bra
Alex Lincoln?,--,2011,Illinois,Big Ten,5,6,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0,0,0,,,player.fcgi?id=lincol000ale
Thomas Lindauer,19,2011,Illinois,Big Ten,27,81,73,5,13,3,0,0,7,1,1,4,20,0.178,0.241,0.219,0.46,16,,2,2,0,,,player.fcgi?id=lindau000tho
Casey McMurray?,--,2011,Illinois,Big Ten,57,256,220,42,56,9,2,2,33,10,1,24,11,0.255,0.344,0.341,0.685,75,,8,0,4,,,player.fcgi?id=mcmurr000cas
Josh Parr,21,2011,Illinois,Big Ten,51,218,192,33,58,11,5,2,36,17,2,9,28,0.302,0.351,0.443,0.793,85,,8,4,5,,,player.fcgi?id=parr--000jos
Justin Parr*,20,2011,Illinois,Big Ten,54,236,208,25,66,11,4,0,32,3,5,18,34,0.317,0.362,0.409,0.771,85,,0,4,6,,,player.fcgi?id=parr--000jus
Pat Sheehan?,--,2012,Illinois,Big Ten,16,23,18,3,3,2,0,0,4,1,0,3,7,0.167,0.273,0.278,0.551,5,,0,1,1,,,player.fcgi?id=sheeha003pat
Thomas Shelton?,--,2012,Illinois,Big Ten,25,40,37,2,4,1,0,0,2,0,1,3,6,0.108,0.175,0.135,0.31,5,,0,0,0,,,player.fcgi?id=shelto000tho
