Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
John Anderson,--,2011,Illinois,Big Ten,,,,4.13,,17,,,0,,98,95,55,45,,25,,55,,,,,1.224,8.7,,2.3,5.1,2.2,,player.fcgi?id=anders027joh
Billy Barrett?,--,2011,Illinois,Big Ten,,,,9.75,,1,,,0,,12,15,15,13,,11,,8,,,,,2.167,11.3,,8.3,6,0.73,,player.fcgi?id=barret002bil
Wes Braun,--,2011,Illinois,Big Ten,,,,1.42,,0,,,0,,19,10,5,3,,11,,13,,,,,1.105,4.7,,5.2,6.2,1.18,,player.fcgi?id=braun-000wes
Brian de la Torriente,--,2011,Illinois,Big Ten,,,,16.88,,0,,,0,,5.1,10,10,10,,6,,1,,,,,3,16.9,,10.1,1.7,0.17,,player.fcgi?id=delato000bri
Kevin Johnson,20,2011,Illinois,Big Ten,,,,4.54,,16,,,0,,103,108,67,52,,39,,68,,,,,1.427,9.4,,3.4,5.9,1.74,,player.fcgi?id=johnso014kev
Luke Joyce*,--,2011,Illinois,Big Ten,,,,2.82,,0,,,0,,22.1,21,11,7,,12,,14,,,,,1.478,8.5,,4.8,5.6,1.17,,player.fcgi?id=joyce-000luk
Corey Kimes*,21,2011,Illinois,Big Ten,,,,5.05,,15,,,0,,87.1,106,59,49,,39,,57,,,,,1.66,10.9,,4,5.9,1.46,,player.fcgi?id=kimes-000cor
Matt Milroy,20,2011,Illinois,Big Ten,,,,5.91,,2,,,0,,32,36,24,21,,18,,20,,,,,1.688,10.1,,5.1,5.6,1.11,,player.fcgi?id=milroy001mat
Ronnie Muck,19,2011,Illinois,Big Ten,,,,4.5,,0,,,0,,10,12,5,5,,4,,3,,,,,1.6,10.8,,3.6,2.7,0.75,,player.fcgi?id=muck--000ron
Chris Pack,23,2011,Illinois,Big Ten,,,,4.56,,0,,,0,,53.1,45,30,27,,8,,30,,,,,0.994,7.6,,1.4,5.1,3.75,,player.fcgi?id=pack--000chr
Will Strack,--,2011,Illinois,Big Ten,,,,4.03,,1,,,0,,38,36,20,17,,27,,29,,,,,1.658,8.5,,6.4,6.9,1.07,,player.fcgi?id=strack000wil
Lee Zerrusen,--,2011,Illinois,Big Ten,,,,8.68,,5,,,0,,28,38,29,27,,13,,16,,,,,1.821,12.2,,4.2,5.1,1.23,,player.fcgi?id=zerrus000lee
Nick Chmielewski?,--,2012,Illinois,Big Ten,1,1,0.5,3.86,8,6,,,0,0,28,31,17,12,4,19,0,12,8,0,6,137,1.786,10,1.3,6.1,3.9,0.63,,player.fcgi?id=chmiel000nic
Brian de la Torriente,--,2012,Illinois,Big Ten,1,1,0.5,4.82,9,4,,,0,0,28,28,18,15,2,15,0,10,5,1,7,126,1.536,9,0.6,4.8,3.2,0.67,,player.fcgi?id=delato000bri
Josh Ferry?,--,2012,Illinois,Big Ten,3,1,0.75,7.09,11,6,,,0,0,39.1,40,34,31,4,20,0,22,10,0,3,186,1.525,9.2,0.9,4.6,5,1.1,,player.fcgi?id=ferry-000jos
Tyler Hamer,19,2012,Illinois,Big Ten,0,0,,108,1,0,,,0,0,0.1,4,4,4,0,0,0,0,1,0,2,6,12,108,0,0,0,,,player.fcgi?id=hamer-000tyl
Drasen Johnson,20,2012,Illinois,Big Ten,1,1,0.5,6,16,4,,,0,0,39,44,26,26,3,13,0,21,0,0,2,172,1.462,10.2,0.7,3,4.8,1.62,,player.fcgi?id=johnso000dra
Kevin Johnson,21,2012,Illinois,Big Ten,7,5,0.583,3.97,14,14,,,1,0,88.1,100,47,39,2,27,0,43,5,0,5,389,1.438,10.2,0.2,2.8,4.4,1.59,,player.fcgi?id=johnso014kev
Luke Joyce*,--,2012,Illinois,Big Ten,2,4,0.333,4.68,18,0,,,0,0,25,21,14,13,4,17,0,13,2,1,1,110,1.52,7.6,1.4,6.1,4.7,0.76,,player.fcgi?id=joyce-000luk
John Kravetz,19,2012,Illinois,Big Ten,8,3,0.727,4.72,15,14,,,0,0,87.2,88,52,46,7,19,0,45,13,2,2,379,1.221,9,0.7,2,4.6,2.37,,player.fcgi?id=kravet000joh
Will Krug,19,2012,Illinois,Big Ten,0,0,,0,1,0,,,0,0,0.2,1,0,0,0,0,0,0,0,0,0,3,1.5,13.5,0,0,0,,,player.fcgi?id=krug--000wil
Rob McDonnell*,20,2012,Illinois,Big Ten,0,2,0,5.56,2,2,,,0,0,11.1,16,9,7,1,4,0,6,2,0,1,54,1.765,12.7,0.8,3.2,4.8,1.5,,player.fcgi?id=mcdonn000rob
Anthony Milazzo*,--,2012,Illinois,Big Ten,0,0,,1.38,12,0,,,0,0,13,10,4,2,0,3,0,10,0,2,4,52,1,6.9,0,2.1,6.9,3.33,,player.fcgi?id=milazz000ant
Matt Milroy,21,2012,Illinois,Big Ten,2,6,0.25,3.88,20,2,,,0,0,53.1,37,27,23,0,44,0,65,10,1,10,242,1.519,6.2,0,7.4,11,1.48,,player.fcgi?id=milroy001mat
Ronnie Muck,20,2012,Illinois,Big Ten,2,1,0.667,4.36,23,0,,,0,3,33,28,21,16,4,14,1,32,6,1,3,148,1.273,7.6,1.1,3.8,8.7,2.29,,player.fcgi?id=muck--000ron
Bryan Roberts?,--,2012,Illinois,Big Ten,0,0,,3,3,0,,,0,0,3,4,2,1,1,0,0,1,0,0,0,13,1.333,12,3,0,3,,,player.fcgi?id=robert002bry
Reid Roper,20,2012,Illinois,Big Ten,1,0,1,4.05,13,1,,,0,3,13.1,9,6,6,2,2,0,9,2,0,1,50,0.825,6.1,1.4,1.4,6.1,4.5,,player.fcgi?id=roper-001rei
