Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional,,,
Henry Allen,20,2026,Georgia,SEC,46,194,156,42,50,10,0,13,41,3,0,28,39,0.321,0.443,0.635,1.078,99,5,8,0,2,0,,player.fcgi?id=allen-000hen,,,
Jack Arcamone*,21,2026,Georgia,SEC,35,100,86,18,26,2,0,4,21,1,0,10,26,0.302,0.38,0.465,0.845,40,0,2,0,2,0,,player.fcgi?id=arcamo000jac,,,
Ryan Black*,22,2026,Georgia,SEC,60,232,190,42,57,10,1,9,34,5,1,31,50,0.3,0.418,0.505,0.923,96,4,9,0,2,0,,player.fcgi?id=black-004rya,,,
Kolby Branch,23,2026,Georgia,SEC,67,280,234,57,68,19,0,20,60,4,0,40,72,0.291,0.394,0.628,1.023,147,5,2,1,3,0,,player.fcgi?id=branch000kol,,,
Bryce Calloway,23,2026,Georgia,SEC,31,79,59,12,13,1,0,4,17,0,0,15,17,0.22,0.418,0.441,0.858,26,2,5,0,0,0,,player.fcgi?id=callow000bry,,,
Brennan Hudson*,22,2026,Georgia,SEC,56,223,163,52,48,5,0,22,51,0,0,39,46,0.295,0.466,0.73,1.197,119,0,17,0,4,2,,player.fcgi?id=hudson000bre,,,
Kenny Ishikawa*,22,2026,Georgia,SEC,48,160,125,36,42,6,1,3,21,4,1,28,11,0.336,0.475,0.472,0.947,59,2,5,2,0,0,,player.fcgi?id=ishika000ken,,,
Daniel Jackson,21,2026,Georgia,SEC,67,319,264,88,100,14,1,32,87,26,2,44,64,0.379,0.473,0.803,1.276,212,6,7,0,4,2,,player.fcgi?id=jackso015dan,,,
Cole Johnson*,19,2026,Georgia,SEC,33,80,71,16,22,7,0,2,13,1,0,6,16,0.31,0.388,0.493,0.881,35,1,3,0,0,0,,player.fcgi?id=johnso028col,,,
Cole Koniarsky,23,2026,Georgia,SEC,22,34,30,5,9,1,0,1,4,0,0,2,5,0.3,0.353,0.433,0.786,13,2,1,0,1,0,,player.fcgi?id=koniar000col,,,
Rylan Lujo,21,2026,Georgia,SEC,60,255,221,59,79,16,1,14,49,13,1,19,22,0.358,0.428,0.629,1.057,139,0,11,0,4,2,,player.fcgi?id=lujo--000ryl,,,
Scott Newman,22,2026,Georgia,SEC,36,21,15,7,2,0,0,0,2,0,0,5,3,0.133,0.381,0.133,0.514,2,1,1,0,0,0,,player.fcgi?id=newman000sco,,,
Michael O'Shaughnessy*,22,2026,Georgia,SEC,54,197,163,35,47,3,0,20,55,0,0,20,63,0.288,0.396,0.675,1.071,110,3,11,0,3,0,,player.fcgi?id=oshaug000mic,,,
Jordy Oriach*,23,2026,Georgia,SEC,41,138,111,19,33,6,0,7,28,0,0,20,20,0.297,0.428,0.541,0.968,60,2,6,0,1,1,,player.fcgi?id=oriach000jor,,,
Ty Peeples*,19,2026,Georgia,SEC,32,25,17,9,5,2,0,0,3,3,0,6,6,0.294,0.52,0.412,0.932,7,0,2,0,0,0,,player.fcgi?id=peeple000ty-,,,
Tre Phelps,22,2026,Georgia,SEC,65,312,250,81,87,11,1,19,59,8,0,24,47,0.348,0.468,0.628,1.096,157,2,35,0,3,0,,player.fcgi?id=phelps000tre,,,
TL Saxon,22,2026,Georgia,SEC,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,player.fcgi?id=saxon-001tho,,,
Alexander Sifford,21,2026,Georgia,SEC,5,3,2,0,0,0,0,0,1,0,0,0,2,0,0.333,0,0.333,0,0,1,0,0,0,,player.fcgi?id=siffor000ale,,,
Ryan Wynn,21,2026,Georgia,SEC,50,146,130,32,42,14,0,9,37,4,1,9,30,0.323,0.377,0.639,1.015,83,1,4,0,3,0,,player.fcgi?id=wynn--001rya,,,
Christian Adams*,23,2025,Georgia,SEC,42,145,123,24,36,7,1,7,23,0,0,18,38,0.293,0.4,0.537,0.937,66,1,4,0,0,0,,player.fcgi?id=adams-008chr,,,
Slate Alford,22,2025,Georgia,SEC,60,293,242,71,80,16,2,19,63,2,0,39,50,0.331,0.44,0.649,1.089,157,8,10,0,2,1,,player.fcgi?id=alford000sla,,,
Ryan Black*,21,2025,Georgia,SEC,38,143,116,23,32,5,0,7,18,3,0,14,22,0.276,0.39,0.5,0.89,58,1,9,2,2,1,,player.fcgi?id=black-004rya,,,
Kolby Branch,22,2025,Georgia,SEC,60,256,218,46,66,10,1,13,41,6,1,33,76,0.303,0.398,0.537,0.935,117,4,3,0,2,0,,player.fcgi?id=branch000kol,,,
Cade Brown,20,2025,Georgia,SEC,16,37,35,3,6,2,0,1,5,0,0,2,10,0.171,0.216,0.314,0.531,11,0,0,0,0,0,,player.fcgi?id=brown-003cad,,,
Robbie Burnett*,22,2025,Georgia,SEC,56,256,192,62,59,12,1,20,66,17,4,42,52,0.307,0.477,0.693,1.169,133,3,21,0,1,0,,player.fcgi?id=burnet000rob,,,
Bryce Clavon,19,2025,Georgia,SEC,27,19,15,10,5,1,1,1,2,2,0,2,7,0.333,0.474,0.733,1.207,11,0,2,0,0,0,,player.fcgi?id=clavon000bry,,,
Brennan Hudson*,21,2025,Georgia,SEC,26,46,32,8,7,4,0,3,13,0,0,6,17,0.219,0.457,0.625,1.082,20,0,8,0,0,0,,player.fcgi?id=hudson000bre,,,
Henry Hunter*,22,2025,Georgia,SEC,53,210,173,35,41,9,0,11,28,1,1,25,57,0.237,0.371,0.48,0.851,83,1,12,0,0,0,,player.fcgi?id=hunter000hen,,,
Daniel Jackson,20,2025,Georgia,SEC,45,148,121,28,29,3,0,14,36,12,0,19,44,0.24,0.365,0.612,0.977,74,4,6,0,2,0,,player.fcgi?id=jackso015dan,,,
Charlie Jones,22,2025,Georgia,SEC,9,15,13,1,4,0,0,0,0,0,0,1,6,0.308,0.4,0.308,0.708,4,0,1,0,0,0,,player.fcgi?id=jones-044cha,,,
Trey King*,20,2025,Georgia,SEC,26,21,18,4,4,0,0,0,0,0,0,1,3,0.222,0.333,0.222,0.556,4,2,2,0,0,0,,player.fcgi?id=king--000tre,,,
Nolan McCarthy,23,2025,Georgia,SEC,59,261,221,56,61,10,1,11,42,8,1,18,43,0.276,0.376,0.48,0.856,106,2,18,3,1,0,,player.fcgi?id=mccart002nol,,,
Devin Obee,21,2025,Georgia,SEC,57,189,145,42,32,5,0,10,33,11,2,34,51,0.221,0.388,0.462,0.85,67,2,7,1,2,0,,player.fcgi?id=obee--000dev,,,
Erik Parker,19,2025,Georgia,SEC,16,6,4,10,1,0,0,0,0,1,0,2,1,0.25,0.5,0.25,0.75,1,0,0,0,0,0,,player.fcgi?id=parker001eri,,,
Tre Phelps,21,2025,Georgia,SEC,50,237,201,45,64,14,1,10,44,4,0,20,44,0.318,0.409,0.547,0.957,110,2,13,0,3,0,,player.fcgi?id=phelps000tre,,,
Ryland Zaborowski,23,2025,Georgia,SEC,45,184,146,41,54,10,0,17,61,0,0,29,40,0.37,0.5,0.788,1.288,115,3,9,0,0,3,,player.fcgi?id=zaboro000ryl,,,
Slate Alford,21,2024,Georgia,SEC,60,300,267,55,80,13,0,17,69,1,0,26,63,0.3,0.37,0.539,0.909,144,8,5,0,2,0,,player.fcgi?id=alford000sla,,,
Kolby Branch,21,2024,Georgia,SEC,59,265,225,49,60,10,0,17,58,2,1,31,51,0.267,0.366,0.538,0.904,121,4,6,0,3,1,,player.fcgi?id=branch000kol,,,
Dillon Carter*,23,2024,Georgia,SEC,35,116,82,34,18,2,0,7,15,2,0,25,32,0.22,0.439,0.5,0.939,41,0,7,2,0,0,,player.fcgi?id=carter000dil,,,
Clayton Chadwick*,23,2024,Georgia,SEC,55,202,160,39,43,16,0,4,26,4,1,28,27,0.269,0.418,0.444,0.862,71,3,13,1,0,0,,player.fcgi?id=chadwi000cla,,,
Corey Collins*,22,2024,Georgia,SEC,52,244,158,55,56,6,0,20,58,0,0,56,32,0.354,0.574,0.772,1.346,122,2,28,0,2,1,,player.fcgi?id=collin000cor,,,
Charlie Condon,21,2024,Georgia,SEC,60,304,231,84,100,20,1,37,78,3,1,57,41,0.433,0.556,1.009,1.565,233,4,12,0,4,28,,player.fcgi?id=condon000cha,,,
Lukas Farris,20,2024,Georgia,SEC,11,20,16,2,2,0,0,1,1,0,0,2,9,0.125,0.3,0.313,0.613,5,1,2,0,0,0,,player.fcgi?id=farris000luk,,,
Dylan Goldstein*,23,2024,Georgia,SEC,52,214,165,49,45,11,1,12,43,0,0,30,34,0.273,0.421,0.57,0.99,94,3,15,0,4,1,,player.fcgi?id=goldst000dyl,,,
Fernando Gonzalez,22,2024,Georgia,SEC,48,200,171,39,50,10,2,9,53,0,0,15,31,0.292,0.364,0.532,0.896,91,2,7,2,5,1,,player.fcgi?id=gonzal008fer,,,
Henry Hunter*,21,2024,Georgia,SEC,30,88,72,20,19,5,0,4,12,1,0,13,23,0.264,0.379,0.5,0.879,36,1,1,1,1,0,,player.fcgi?id=hunter000hen,,,
Logan Jordan,23,2024,Georgia,SEC,32,106,79,10,19,3,0,4,19,0,0,21,26,0.241,0.425,0.43,0.855,34,3,5,0,1,0,,player.fcgi?id=jordan000log,,,
Trey King*,19,2024,Georgia,SEC,17,31,26,10,6,1,0,0,1,0,0,2,5,0.231,0.31,0.269,0.58,7,1,1,2,0,0,,player.fcgi?id=king--000tre,,,
