Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Caden Aoki,23,2026,Georgia,SEC,9,2,0.818,4.08,20,9,,1,0,3,86,86,41,39,14,27,0,110,4,0,7,371,1.314,9,1.5,2.8,11.5,4.07,,player.fcgi?id=aoki--000cad
Teddy Brennan*,23,2026,Georgia,SEC,0,0,,13.5,6,0,,0,0,0,3.1,5,5,5,1,6,0,7,1,0,1,22,3.3,13.5,2.7,16.2,18.9,1.17,,player.fcgi?id=brenna000the
Zach Brown,21,2026,Georgia,SEC,2,0,1,4,20,5,,0,0,2,36,32,17,16,8,9,0,38,0,0,2,147,1.139,8,2,2.3,9.5,4.22,,player.fcgi?id=brown-014zac
Justin Byrd,22,2026,Georgia,SEC,6,2,0.75,3.73,27,1,,0,0,8,62.2,45,26,26,13,14,0,77,3,0,2,249,0.941,6.5,1.9,2,11.1,5.5,,player.fcgi?id=byrd--003jus
Bryce Calloway,23,2026,Georgia,SEC,0,0,,0,1,0,,0,0,0,1,1,0,0,0,1,0,2,0,0,0,5,2,9,0,9,18,2,,player.fcgi?id=callow000bry
Grant Edwards,23,2026,Georgia,SEC,1,1,0.5,5.65,19,1,,0,0,0,14.1,12,9,9,2,6,0,11,5,0,0,61,1.256,7.5,1.3,3.8,6.9,1.83,,player.fcgi?id=edward004gra
Thomas Ellisen,23,2026,Georgia,SEC,1,2,0.333,7.71,11,1,,0,0,0,16.1,18,14,14,5,5,0,17,2,0,1,72,1.408,9.9,2.8,2.8,9.4,3.4,,player.fcgi?id=ellise000tho
Paul Farley,21,2026,Georgia,SEC,8,2,0.8,4.98,22,4,,0,0,1,47,55,29,26,7,21,0,50,4,1,2,213,1.617,10.5,1.3,4,9.6,2.38,,player.fcgi?id=farley000pau
Kenny Ishikawa*,22,2026,Georgia,SEC,1,1,0.5,14.44,10,6,,0,0,0,14.1,21,24,23,3,16,0,20,3,0,5,82,2.581,13.2,1.9,10,12.6,1.25,,player.fcgi?id=ishika000ken
Caleb Jameson*,22,2026,Georgia,SEC,2,0,1,6.11,17,1,,0,0,0,17.2,22,14,12,4,4,0,26,3,0,1,81,1.472,11.2,2,2,13.2,6.5,,player.fcgi?id=jameso002cal
Mason Kosowick,23,2026,Georgia,SEC,0,0,,7.2,7,0,,0,0,0,5,2,4,4,0,7,0,8,3,0,2,26,1.8,3.6,0,12.6,14.4,1.14,,player.fcgi?id=kosowi000mas
Lucas Morici,22,2026,Georgia,SEC,0,0,,9,1,0,,0,0,0,1,0,1,1,0,2,0,0,1,0,0,4,2,0,0,18,0,0,,player.fcgi?id=morici000luc
Joe Nottingham,19,2026,Georgia,SEC,0,0,,4.73,13,0,,0,0,1,13.1,10,8,7,2,7,0,19,0,0,1,58,1.275,6.8,1.4,4.7,12.8,2.71,,player.fcgi?id=nottin000joe
Jackson Peavy*,19,2026,Georgia,SEC,0,0,,0,3,0,,0,0,0,2.1,0,1,0,0,2,0,3,1,0,0,11,0.857,0,0,7.7,11.6,1.5,,player.fcgi?id=peavy-002jac
Brad Pruett,22,2026,Georgia,SEC,0,1,0,8.22,8,0,,0,0,0,7.2,9,9,7,2,8,1,12,1,0,1,42,2.217,10.6,2.3,9.4,14.1,1.5,,player.fcgi?id=pruett000bra
