Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Seth Baldwin?,--,2011,North Carolina,62,185,151,25,37,8,2,5,27,3,1,28,46,0.245,0.366,0.424,0.79,64,,2,2,2,,,player.fcgi?id=baldwi000set
Jeff Bouton,19,2011,North Carolina,47,46,39,13,10,0,1,1,5,3,0,4,22,0.256,0.356,0.385,0.74,15,,2,1,0,,,player.fcgi?id=bouton002jef
Ben Bunting?,--,2011,North Carolina,67,317,279,54,80,6,4,1,40,17,4,22,33,0.287,0.35,0.348,0.698,97,,7,6,3,,,player.fcgi?id=buntin000ben
Tommy Coyle?,--,2011,North Carolina,67,322,270,57,84,16,3,2,36,18,6,40,26,0.311,0.411,0.415,0.826,112,,6,6,0,,,player.fcgi?id=coyle-000tom
Garrett Davis*,20,2011,North Carolina,5,1,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,,0,0,0,,,player.fcgi?id=davis-002gar
Chaz Frank*,20,2011,North Carolina,65,288,230,45,64,8,4,0,35,10,3,43,32,0.278,0.411,0.348,0.759,80,,11,1,3,,,player.fcgi?id=frank-004cha
Brian Holberton*,19,2011,North Carolina,48,104,88,12,22,6,1,1,15,0,1,13,15,0.25,0.34,0.375,0.715,33,,0,1,2,,,player.fcgi?id=holber000bri
Greg Holt,22,2011,North Carolina,51,77,68,15,27,6,0,3,23,1,0,7,12,0.397,0.447,0.618,1.065,42,,0,1,1,,,player.fcgi?id=holt--000gre
Parks Jordan*,19,2011,North Carolina,33,39,28,5,5,1,0,0,3,0,0,6,11,0.179,0.343,0.214,0.557,6,,1,4,0,,,player.fcgi?id=jordan000par
Levi Michael,20,2011,North Carolina,65,309,242,53,70,14,3,5,48,15,1,49,47,0.289,0.434,0.434,0.868,105,,15,0,3,,,player.fcgi?id=michae000lev
Colin Moran*,18,2011,North Carolina,67,304,248,46,83,20,2,9,71,2,2,47,33,0.335,0.442,0.54,0.982,134,,3,3,3,,,player.fcgi?id=moran-000col
Matt Roberts,19,2011,North Carolina,29,45,39,7,8,3,0,0,2,0,0,3,12,0.205,0.295,0.282,0.578,11,,2,1,0,,,player.fcgi?id=robert003mat
Jacob Stallings,21,2011,North Carolina,67,292,233,52,68,18,1,4,43,4,0,44,41,0.292,0.403,0.429,0.832,100,,4,4,7,,,player.fcgi?id=stalli002jac
Jesse Wierzbicki,22,2011,North Carolina,65,280,230,50,66,13,3,7,40,7,2,32,49,0.287,0.384,0.461,0.845,106,,8,4,6,,,player.fcgi?id=wierzb001jes
Tom Zengel?,--,2011,North Carolina,48,140,113,17,23,4,2,1,23,3,1,19,18,0.204,0.324,0.301,0.625,34,,3,1,4,,,player.fcgi?id=zengel000tom
Josh Ake,19,2012,North Carolina,5,4,3,1,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,0,,0,0,0,0,,player.fcgi?id=ake---000jos
Grayson Atwood,19,2012,North Carolina,19,22,17,6,6,1,0,1,5,0,0,4,9,0.353,0.5,0.588,1.088,10,,1,0,0,0,,player.fcgi?id=atwood000gra
Tommy Coyle?,--,2012,North Carolina,62,294,246,53,60,7,6,4,29,14,1,40,34,0.244,0.355,0.37,0.725,91,,3,4,1,0,,player.fcgi?id=coyle-000tom
Chaz Frank*,21,2012,North Carolina,61,308,242,45,71,14,6,0,39,16,4,46,37,0.293,0.419,0.401,0.82,97,,10,5,5,0,,player.fcgi?id=frank-004cha
Adam Griffin,19,2012,North Carolina,34,105,86,14,23,1,1,0,20,3,2,9,23,0.267,0.35,0.302,0.652,26,,4,2,4,0,,player.fcgi?id=griffi000ada
Brian Holberton*,20,2012,North Carolina,50,147,118,22,35,5,2,1,15,1,0,20,14,0.297,0.404,0.398,0.803,47,,2,6,1,1,,player.fcgi?id=holber000bri
Parks Jordan*,20,2012,North Carolina,60,230,189,29,51,7,4,0,31,7,4,21,28,0.27,0.357,0.349,0.707,66,,7,9,4,1,,player.fcgi?id=jordan000par
Shell McCain,19,2012,North Carolina,38,91,81,9,19,3,0,2,14,0,0,8,15,0.235,0.311,0.346,0.657,28,,1,1,0,0,,player.fcgi?id=mccain000she
Colin Moran*,19,2012,North Carolina,41,198,170,30,62,11,1,3,35,1,2,21,24,0.365,0.434,0.494,0.928,84,,3,0,4,4,,player.fcgi?id=moran-000col
Bradley Morton?,--,2012,North Carolina,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=morton000bra
Matt Roberts,20,2012,North Carolina,20,32,27,1,3,1,0,0,3,0,0,3,6,0.111,0.219,0.148,0.367,4,,1,0,1,0,,player.fcgi?id=robert003mat
Michael Russell,19,2012,North Carolina,62,275,223,40,60,14,1,0,24,14,3,36,42,0.269,0.383,0.341,0.724,76,,7,6,3,0,,player.fcgi?id=russel004mic
Jacob Stallings,22,2012,North Carolina,62,280,238,44,70,24,0,4,42,5,1,34,48,0.294,0.388,0.445,0.834,106,,4,2,2,0,,player.fcgi?id=stalli002jac
Cody Stubbs*,21,2012,North Carolina,62,269,233,39,60,19,0,5,35,6,1,27,48,0.258,0.347,0.403,0.75,94,,6,1,2,1,,player.fcgi?id=stubbs001rol
Tom Zengel?,--,2012,North Carolina,42,109,91,19,26,7,2,0,19,2,0,14,19,0.286,0.376,0.407,0.783,37,,1,0,3,1,,player.fcgi?id=zengel000tom
Mike Zolk?,--,2012,North Carolina,53,193,161,20,41,6,2,0,26,2,1,20,19,0.255,0.333,0.317,0.65,51,,2,4,6,0,,player.fcgi?id=zolk--000mik
Grayson Atwood,20,2013,North Carolina,21,27,22,5,5,0,0,1,6,0,0,5,7,0.227,0.37,0.364,0.734,8,,0,0,0,0,,player.fcgi?id=atwood000gra
Skye Bolt#,19,2013,North Carolina,54,260,212,48,68,14,2,6,51,10,3,32,28,0.321,0.418,0.491,0.909,104,,7,4,5,1,,player.fcgi?id=bolt--000sky
Matt Campbell,19,2013,North Carolina,17,15,13,5,3,0,1,0,2,0,0,2,1,0.231,0.333,0.385,0.718,5,,0,0,0,0,,player.fcgi?id=campbe005mat
Zach Daly*,19,2013,North Carolina,12,11,10,4,3,0,0,0,0,0,0,1,1,0.3,0.364,0.3,0.664,3,,0,0,0,0,,player.fcgi?id=daly--000zac
Korey Dunbar,19,2013,North Carolina,39,55,44,5,7,2,0,0,3,1,0,7,15,0.159,0.302,0.205,0.506,9,,2,2,0,0,,player.fcgi?id=dunbar000kor
Chaz Frank*,22,2013,North Carolina,65,327,274,59,80,15,5,1,35,24,4,32,22,0.292,0.374,0.394,0.768,108,,8,6,7,2,,player.fcgi?id=frank-004cha
Brian Holberton*,21,2013,North Carolina,70,306,250,54,77,13,0,12,57,8,6,43,30,0.308,0.419,0.504,0.923,126,,7,3,3,2,,player.fcgi?id=holber000bri
Parks Jordan*,21,2013,North Carolina,62,191,159,25,40,2,0,1,27,3,3,20,28,0.252,0.351,0.283,0.634,45,,6,3,3,1,,player.fcgi?id=jordan000par
Landon Lassiter,20,2013,North Carolina,69,330,257,75,92,14,3,1,28,8,4,53,44,0.358,0.491,0.447,0.938,115,,16,2,2,0,,player.fcgi?id=lassit000lan
Michael Massardo*,19,2013,North Carolina,18,11,9,4,2,0,0,0,0,0,2,1,3,0.222,0.3,0.222,0.522,2,,0,1,0,0,,player.fcgi?id=massar002mic
Colin Moran*,20,2013,North Carolina,71,355,281,76,97,11,3,13,91,1,0,63,25,0.345,0.47,0.544,1.015,153,,7,0,4,8,,player.fcgi?id=moran-000col
Matt Roberts,21,2013,North Carolina,55,149,118,18,23,6,2,2,16,2,0,9,31,0.195,0.265,0.331,0.596,39,,3,17,2,0,,player.fcgi?id=robert003mat
Matt Rubino*,20,2013,North Carolina,12,13,10,3,2,0,0,0,2,0,0,3,4,0.2,0.385,0.2,0.585,2,,0,0,0,0,,player.fcgi?id=rubino000mat
Michael Russell,20,2013,North Carolina,70,313,265,56,79,10,3,2,39,18,2,23,33,0.298,0.382,0.381,0.763,101,,16,4,5,0,,player.fcgi?id=russel004mic
Cody Stubbs*,22,2013,North Carolina,71,328,277,64,101,26,4,8,76,5,4,38,48,0.365,0.451,0.574,1.025,159,,9,0,4,4,,player.fcgi?id=stubbs001rol
