Name,Age,Season,Team,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Tim Brechbuehler,21,2011,North Carolina,,,,6.75,,0,,,0,,4,2,4,3,,6,,4,,,,,2,4.5,,13.5,9,0.67,,player.fcgi?id=brechb000tim
Garrett Davis,20,2011,North Carolina,,,,0,,0,,,0,,2.1,0,0,0,,3,,0,,,,,1.286,0,,11.6,0,0,,player.fcgi?id=davis-002gar
Kent Emanuel*,19,2011,North Carolina,,,,2.31,,16,,,1,,105,96,30,27,,23,,89,,,,,1.133,8.2,,2,7.6,3.87,,player.fcgi?id=emanue001ken
Bryant Gaines,23,2011,North Carolina,,,,4.5,,2,,,0,,18,14,9,9,,5,,20,,,,,1.056,7,,2.5,10,4,,player.fcgi?id=gaines000bry
Greg Holt,22,2011,North Carolina,,,,4.04,,2,,,0,,62.1,57,28,28,,32,,68,,,,,1.428,8.2,,4.6,9.8,2.13,,player.fcgi?id=holt--000gre
Hobbs Johnson*,20,2011,North Carolina,,,,0,,0,,,0,,5.1,4,0,0,,1,,6,,,,,0.938,6.8,,1.7,10.1,6,,player.fcgi?id=johnso000hob
Patrick Johnson,22,2011,North Carolina,,,,2.47,,17,,,1,,113,85,33,31,,32,,125,,,,,1.035,6.8,,2.5,10,3.91,,player.fcgi?id=johnso005pat
Jimmy Messer,21,2011,North Carolina,,,,2.7,,0,,,0,,10,10,6,3,,4,,11,,,,,1.4,9,,3.6,9.9,2.75,,player.fcgi?id=messer001jam
Mike Morin,20,2011,North Carolina,,,,4.64,,6,,,0,,64,63,35,33,,18,,66,,,,,1.266,8.9,,2.5,9.3,3.67,,player.fcgi?id=morin-001mic
Chris Munnelly,20,2011,North Carolina,,,,4.06,,14,,,0,,71,71,35,32,,31,,57,,,,,1.437,9,,3.9,7.2,1.84,,player.fcgi?id=munnel000chr
R.C. Orlan*,20,2011,North Carolina,,,,4.26,,0,,,0,,19,18,10,9,,11,,24,,,,,1.526,8.5,,5.2,11.4,2.18,,player.fcgi?id=orlan-001rob
Tate Parrish*,19,2011,North Carolina,,,,2.12,,0,,,0,,17,9,5,4,,10,,15,,,,,1.118,4.8,,5.3,7.9,1.5,,player.fcgi?id=parris000tat
Cody Penny,20,2011,North Carolina,,,,5.63,,0,,,0,,16,17,10,10,,9,,18,,,,,1.625,9.6,,5.1,10.1,2,,player.fcgi?id=penny-000cod
Andrew Smith,19,2011,North Carolina,,,,2.77,,1,,,0,,26,27,12,8,,11,,27,,,,,1.462,9.3,,3.8,9.3,2.45,,player.fcgi?id=smith-009and
Cody Stiles,20,2011,North Carolina,,,,2.43,,8,,,0,,37,29,12,10,,13,,29,,,,,1.135,7.1,,3.2,7.1,2.23,,player.fcgi?id=stiles001cod
Shane Taylor,18,2011,North Carolina,,,,3,,1,,,0,,36,45,18,12,,12,,38,,,,,1.583,11.3,,3,9.5,3.17,,player.fcgi?id=taylor000sha
George Carter?,--,2012,North Carolina,0,0,,0,1,0,,,0,0,0.1,1,0,0,0,0,0,0,0,0,1,2,3,27,0,0,0,,,player.fcgi?id=carter004geo
Kent Emanuel*,20,2012,North Carolina,8,4,0.667,1.96,17,16,,,0,0,110,91,33,24,3,23,0,100,7,0,0,445,1.036,7.4,0.2,1.9,8.2,4.35,,player.fcgi?id=emanue001ken
Hobbs Johnson*,21,2012,North Carolina,7,1,0.875,1.56,22,7,,,0,0,57.2,37,14,10,3,24,0,69,3,0,0,238,1.058,5.8,0.5,3.7,10.8,2.88,,player.fcgi?id=johnso000hob
Trevor Kelley,19,2012,North Carolina,0,0,,16.2,4,0,,,0,0,1.2,5,3,3,0,2,0,3,0,0,2,12,4.2,27,0,10.8,16.2,1.5,,player.fcgi?id=kelley000tre
Chris McCue,19,2012,North Carolina,1,0,1,2.1,25,0,,,0,0,25.2,22,11,6,1,9,0,17,1,0,1,108,1.208,7.7,0.4,3.2,6,1.89,,player.fcgi?id=mccue-000chr
Mason McCullough,19,2012,North Carolina,0,0,,3.86,16,0,,,0,0,9.1,9,6,4,0,8,0,8,1,0,2,45,1.821,8.7,0,7.7,7.7,1,,player.fcgi?id=mccull000mas
Jimmy Messer,22,2012,North Carolina,0,0,,6.75,3,0,,,0,0,4,8,3,3,1,1,0,1,0,0,0,20,2.25,18,2.3,2.3,2.3,1,,player.fcgi?id=messer001jam
Mike Morin,21,2012,North Carolina,6,4,0.6,1.4,38,0,,,0,19,58,38,10,9,3,19,2,55,8,0,1,234,0.983,5.9,0.5,2.9,8.5,2.89,,player.fcgi?id=morin-001mic
Benton Moss,19,2012,North Carolina,7,2,0.778,1.94,17,16,,,0,0,79,65,25,17,4,23,0,83,7,3,2,336,1.114,7.4,0.5,2.6,9.5,3.61,,player.fcgi?id=moss--000ben
Chris Munnelly,21,2012,North Carolina,2,0,1,3.61,15,10,,,0,0,47.1,43,21,19,1,27,0,24,4,0,1,212,1.479,8.2,0.2,5.1,4.6,0.89,,player.fcgi?id=munnel000chr
Chris O'Brien?,--,2012,North Carolina,1,2,0.333,3.46,14,5,,,0,0,26,30,12,10,0,11,0,16,1,1,1,117,1.577,10.4,0,3.8,5.5,1.45,,player.fcgi?id=obrien004chr
R.C. Orlan*,21,2012,North Carolina,8,1,0.889,2.21,38,0,,,0,0,57,55,16,14,2,11,0,66,2,1,0,237,1.158,8.7,0.3,1.7,10.4,6,,player.fcgi?id=orlan-001rob
Tate Parrish*,20,2012,North Carolina,1,0,1,2.89,25,0,,,0,0,9.1,11,7,3,0,5,0,13,3,0,1,48,1.714,10.6,0,4.8,12.5,2.6,,player.fcgi?id=parris000tat
Luis Paula,19,2012,North Carolina,0,1,0,5.95,13,2,,,0,0,19.2,25,18,13,3,11,1,21,1,0,3,95,1.831,11.4,1.4,5,9.6,1.91,,player.fcgi?id=paula-000lui
Cody Penny,21,2012,North Carolina,0,0,,6.61,18,2,,,0,0,16.1,19,13,12,1,9,0,19,3,0,5,81,1.714,10.5,0.6,5,10.5,2.11,,player.fcgi?id=penny-000cod
Andrew Smith,20,2012,North Carolina,0,0,,27,5,0,,,0,0,1.1,2,4,4,0,5,0,1,0,0,0,10,5.25,13.5,0,33.8,6.8,0.2,,player.fcgi?id=smith-009and
Shane Taylor,19,2012,North Carolina,5,1,0.833,3.48,26,4,,,0,0,41.1,38,20,16,0,17,0,34,4,1,1,180,1.331,8.3,0,3.7,7.4,2,,player.fcgi?id=taylor000sha
Taylore Cherry,20,2013,North Carolina,1,0,1,8.1,8,1,,,0,0,10,16,10,9,0,5,0,4,3,0,2,55,2.1,14.4,0,4.5,3.6,0.8,,player.fcgi?id=cherry000tay
Kent Emanuel*,21,2013,North Carolina,11,5,0.688,3.14,21,18,,,3,1,131.2,121,52,46,7,32,0,98,4,0,3,543,1.162,8.3,0.5,2.2,6.7,3.06,,player.fcgi?id=emanue001ken
Peter Hendel*,20,2013,North Carolina,0,0,,27,4,0,,,0,0,0.2,3,2,2,0,1,0,1,0,0,0,6,6,40.5,0,13.5,13.5,1,,player.fcgi?id=hendel000pet
Reilly Hovis,19,2013,North Carolina,4,0,1,2.36,18,4,,,0,0,34.1,20,10,9,1,24,4,26,1,0,2,150,1.282,5.2,0.3,6.3,6.8,1.08,,player.fcgi?id=hovis-000rei
Hobbs Johnson*,22,2013,North Carolina,5,1,0.833,2.37,18,17,,,0,0,87.1,62,25,23,0,51,0,78,5,0,4,377,1.294,6.4,0,5.3,8,1.53,,player.fcgi?id=johnso000hob
Trevor Kelley,20,2013,North Carolina,2,1,0.667,3.63,32,0,,,0,2,44.2,33,20,18,1,19,0,36,6,0,6,188,1.164,6.6,0.2,3.8,7.3,1.89,,player.fcgi?id=kelley000tre
Chris McCue,20,2013,North Carolina,7,1,0.875,2.13,32,0,,,0,2,63.1,43,19,15,2,28,2,54,4,1,11,265,1.121,6.1,0.3,4,7.7,1.93,,player.fcgi?id=mccue-000chr
Mason McCullough,20,2013,North Carolina,0,1,0,0.73,17,0,,,0,0,12.1,4,1,1,0,7,0,14,3,0,2,49,0.892,2.9,0,5.1,10.2,2,,player.fcgi?id=mccull000mas
Benton Moss,20,2013,North Carolina,8,1,0.889,3.77,19,16,,,0,0,88.1,79,41,37,7,34,0,92,10,1,6,384,1.279,8,0.7,3.5,9.4,2.71,,player.fcgi?id=moss--000ben
Chris Munnelly,22,2013,North Carolina,6,0,1,2.39,22,8,,,0,1,60.1,36,16,16,3,27,1,63,9,0,4,252,1.044,5.4,0.4,4,9.4,2.33,,player.fcgi?id=munnel000chr
Chris O'Brien?,--,2013,North Carolina,0,1,0,10.8,4,0,,,0,0,1.2,5,4,2,0,2,0,0,0,0,0,12,4.2,27,0,10.8,0,0,,player.fcgi?id=obrien004chr
Tate Parrish*,21,2013,North Carolina,1,0,1,1.35,20,0,,,0,2,6.2,4,1,1,0,4,0,10,2,0,0,33,1.2,5.4,0,5.4,13.5,2.5,,player.fcgi?id=parris000tat
Luis Paula,20,2013,North Carolina,0,0,,8.59,9,0,,,0,1,7.1,5,7,7,0,10,0,6,1,0,1,37,2.045,6.1,0,12.3,7.4,0.6,,player.fcgi?id=paula-000lui
